Year;Month;Day;Observer;Location;Site;Transect;Longspine Sea Urchin (n);Other Sea Urchin (n);Sea Cucumbers (n);Lobster (n);Conch (n);
2016;July;25;MM;St Maarten;Frenchman Reef;1;0;0;0;0;0;
2016;July;25;MM;St Maarten;Frenchman Reef;2;0;1;0;0;0;
2016;July;25;MM;St Maarten;Frenchman Reef;3;0;0;1;0;0;
2016;July;27;MM;St Maarten;Mikes Mazes;1;0;0;0;0;0;
2016;July;27;MM;St Maarten;Mikes Mazes;2;0;0;0;0;0;
2016;July;27;MM;St Maarten;Mikes Mazes;3;0;0;0;0;0;
2016;July;28;MM;St Maarten;Proselyte Reef;1;0;0;0;0;0;
2016;July;28;MM;St Maarten;Proselyte Reef;2;0;0;0;0;0;
2016;July;28;MM;St Maarten;Proselyte Reef;3;0;0;0;0;0;
2016;July;29;MM;St Maarten;Long Bay Reef;1;0;0;0;0;0;
2016;July;29;MM;St Maarten;Long Bay Reef;2;0;0;0;0;2;
2016;July;29;MM;St Maarten;Long Bay Reef;3;0;0;0;0;0;
2016;August;8;MM;St Maarten;Shark Hotel;1;0;0;0;0;0;
2016;August;8;MM;St Maarten;Shark Hotel;2;0;0;0;0;0;
2016;August;8;MM;St Maarten;Shark Hotel;3;0;0;0;0;0;
2016;August;8;MM;St Maarten;Fish Bowl;1;0;0;0;0;0;
2016;August;8;MM;St Maarten;Fish Bowl;2;0;0;0;0;0;
2016;August;8;MM;St Maarten;Fish Bowl;3;0;0;0;0;0;
2016;August;9;MM;St Maarten;Moonscape;1;0;0;0;0;0;
2016;August;9;MM;St Maarten;Moonscape;2;0;0;0;0;0;
2016;August;9;MM;St Maarten;Moonscape;3;0;0;0;0;0;
2017;August;15;MM;St Maarten;Frenchman Reef;1;3;0;0;0;0;
2017;August;15;MM;St Maarten;Frenchman Reef;2;0;0;0;0;0;
2017;August;15;MM;St Maarten;Frenchman Reef;3;1;0;0;0;0;
2017;August;23;MM;St Maarten;Shark Hotel;1;0;0;0;0;0;
2017;August;23;MM;St Maarten;Shark Hotel;2;0;0;0;0;0;
2017;August;23;MM;St Maarten;Shark Hotel;3;0;0;0;0;0;
2017;August;24;MM;St Maarten;Fish Bowl;1;0;0;0;0;0;
2017;August;24;MM;St Maarten;Fish Bowl;2;0;0;0;0;0;
2017;August;24;MM;St Maarten;Fish Bowl;3;0;0;0;0;0;
2017;August;24;MM;St Maarten;Proselyte Reef;1;0;0;0;1;0;
2017;August;24;MM;St Maarten;Proselyte Reef;2;0;0;0;0;0;
2017;August;24;MM;St Maarten;Proselyte Reef;3;0;0;0;0;0;
2017;August;25;MM;St Maarten;Mikes Mazes;1;0;0;0;3;0;
2017;August;25;MM;St Maarten;Mikes Mazes;2;0;0;0;1;0;
2017;August;25;MM;St Maarten;Mikes Mazes;3;0;0;0;0;0;
2017;August;31;MM;St Maarten;Long Bay Reef;1;0;0;0;0;0;
2017;August;31;MM;St Maarten;Long Bay Reef;2;0;0;0;0;0;
2017;August;31;MM;St Maarten;Long Bay Reef;3;0;0;0;0;0;
2017;August;31;MM;St Maarten;Moonscape;1;0;0;0;0;0;
2017;August;31;MM;St Maarten;Moonscape;2;0;0;0;0;0;
2017;August;31;MM;St Maarten;Moonscape;3;0;0;0;0;0;
2017;November;28;MM;St Maarten;Moonscape;1;0;0;0;0;0;
2017;November;28;MM;St Maarten;Moonscape;2;0;0;0;0;0;
2017;November;28;MM;St Maarten;Moonscape;3;0;1;0;0;0;
2017;November;30;MM;St Maarten;Long Bay Reef;1;0;0;0;0;0;
2017;November;30;MM;St Maarten;Long Bay Reef;2;0;0;0;0;0;
2017;November;30;MM;St Maarten;Long Bay Reef;3;0;0;0;0;0;
2017;December;1;MM;St Maarten;Fish Bowl;1;0;0;0;0;0;
2017;December;1;MM;St Maarten;Fish Bowl;2;0;0;0;0;0;
2017;December;1;MM;St Maarten;Fish Bowl;3;0;0;0;0;0;
2017;December;12;MM;St Maarten;Shark Hotel;1;0;0;0;0;0;
2017;December;12;MM;St Maarten;Shark Hotel;2;0;0;0;0;0;
2017;December;12;MM;St Maarten;Shark Hotel;3;0;0;0;0;0;
2017;December;12;MM;St Maarten;Frenchman Reef;1;0;0;0;0;0;
2017;December;12;MM;St Maarten;Frenchman Reef;2;0;0;0;0;0;
2017;December;12;MM;St Maarten;Frenchman Reef;3;0;0;0;0;0;
2017;December;13;MM;St Maarten;Proselyte Reef;1;0;0;0;0;0;
2017;December;13;MM;St Maarten;Proselyte Reef;2;0;0;0;0;0;
2017;December;13;MM;St Maarten;Proselyte Reef;3;0;0;0;0;0;
2017;December;13;MM;St Maarten;Mikes Mazes;1;0;0;0;0;0;
2017;December;13;MM;St Maarten;Mikes Mazes;2;0;0;0;0;0;
2017;December;13;MM;St Maarten;Mikes Mazes;3;0;0;0;0;0;
2018;September;4;MM;St Maarten;Mikes Mazes;1;0;0;0;0;1;
2018;September;4;MM;St Maarten;Mikes Mazes;2;0;0;0;0;0;
2018;September;4;MM;St Maarten;Mikes Mazes;3;0;0;0;0;0;
2018;September;4;MM;St Maarten;Moonscape;1;0;0;0;0;0;
2018;September;4;MM;St Maarten;Moonscape;2;0;0;0;0;0;
2018;September;4;MM;St Maarten;Moonscape;3;0;0;0;0;0;
2018;September;5;MM;St Maarten;Shark Hotel;1;0;0;0;0;0;
2018;September;5;MM;St Maarten;Shark Hotel;2;0;0;0;0;0;
2018;September;5;MM;St Maarten;Shark Hotel;3;0;0;0;0;0;
2018;September;9;MM;St Maarten;Fish Bowl;1;0;0;0;1;0;
2018;September;9;MM;St Maarten;Fish Bowl;2;0;0;0;0;0;
2018;September;9;MM;St Maarten;Fish Bowl;3;0;0;0;0;0;
2018;September;18;MM;St Maarten;Frenchman Reef;1;0;0;0;0;0;
2018;September;18;MM;St Maarten;Frenchman Reef;2;0;0;0;0;0;
2018;September;18;MM;St Maarten;Frenchman Reef;3;0;0;0;0;0;
2018;September;19;MM;St Maarten;Long Bay Reef;1;0;0;0;0;0;
2018;September;19;MM;St Maarten;Long Bay Reef;2;0;0;0;0;0;
2018;September;19;MM;St Maarten;Long Bay Reef;3;0;0;0;0;0;
2018;November;6;MM;St Maarten;Proselyte Reef;1;0;0;0;0;0;
2018;November;6;MM;St Maarten;Proselyte Reef;2;0;0;0;0;0;
2018;November;6;MM;St Maarten;Proselyte Reef;3;0;0;0;0;0;
2019;August;19;MM;St Maarten;Moonscape;1;0;0;0;0;0;
2019;August;19;MM;St Maarten;Moonscape;2;0;0;0;0;0;
2019;August;19;MM;St Maarten;Moonscape;3;0;0;0;0;0;
2019;August;20;MM;St Maarten;Fish Bowl;1;0;0;0;0;0;
2019;August;20;MM;St Maarten;Fish Bowl;2;0;0;0;0;0;
2019;August;20;MM;St Maarten;Fish Bowl;3;0;0;0;0;0;
2019;August;21;MM;St Maarten;Shark Hotel;1;0;0;0;0;0;
2019;August;21;MM;St Maarten;Shark Hotel;2;0;0;0;0;0;
2019;August;21;MM;St Maarten;Shark Hotel;3;0;0;0;0;0;
2019;August;22;MM;St Maarten;Long Bay Reef;1;0;0;0;0;3;
2019;August;22;MM;St Maarten;Long Bay Reef;2;0;0;0;0;0;
2019;August;22;MM;St Maarten;Long Bay Reef;3;0;0;0;0;0;
2019;August;22;MM;St Maarten;Frenchman Reef;1;5;0;0;0;3;
2019;August;22;MM;St Maarten;Frenchman Reef;2;12;5;0;0;0;
2019;August;22;MM;St Maarten;Frenchman Reef;3;0;2;0;0;0;
2019;August;23;MM;St Maarten;Proselyte Reef;1;0;0;0;1;0;
2019;August;23;MM;St Maarten;Proselyte Reef;2;0;0;0;0;0;
2019;August;23;MM;St Maarten;Proselyte Reef;3;0;0;0;0;0;
2019;August;27;MM;St Maarten;Mikes Mazes;1;0;0;0;0;0;
2019;August;27;MM;St Maarten;Mikes Mazes;2;0;0;0;0;0;
2019;August;27;MM;St Maarten;Mikes Mazes;3;0;0;0;2;0;
2020;November;24;MM;St Maarten;Moonscape;1;0;0;0;0;0;
2020;November;24;MM;St Maarten;Moonscape;2;0;0;0;0;0;
2020;November;24;MM;St Maarten;Moonscape;3;0;0;0;0;0;
2020;November;24;MM;St Maarten;Frenchman Reef;1;0;0;0;0;0;
2020;November;24;MM;St Maarten;Frenchman Reef;2;0;0;0;0;0;
2020;November;24;MM;St Maarten;Frenchman Reef;3;0;5;0;0;0;
2020;November;26;MM;St Maarten;Mikes Mazes;1;0;0;0;0;0;
2020;November;26;MM;St Maarten;Mikes Mazes;2;0;0;0;0;0;
2020;November;26;MM;St Maarten;Mikes Mazes;3;0;0;0;0;0;
2020;November;26;MM;St Maarten;Proselyte Reef;1;0;0;0;0;0;
2020;November;26;MM;St Maarten;Proselyte Reef;2;0;0;0;0;0;
2020;November;26;MM;St Maarten;Proselyte Reef;3;0;0;0;0;0;
2020;November;27;MM;St Maarten;Fish Bowl;1;0;0;0;0;0;
2020;November;27;MM;St Maarten;Fish Bowl;2;0;0;0;0;0;
2020;November;27;MM;St Maarten;Fish Bowl;3;0;0;0;0;0;
2020;November;27;MM;St Maarten;Shark Hotel;1;0;0;0;0;0;
2020;November;27;MM;St Maarten;Shark Hotel;2;0;0;0;0;0;
2020;November;27;MM;St Maarten;Shark Hotel;3;0;0;0;0;0;
2023;May;16;TE;St Maarten;Frenchman Reef;1;1;0;0;0;0;
2023;May;16;TE;St Maarten;Frenchman Reef;2;0;0;0;0;0;
2023;May;16;TE;St Maarten;Frenchman Reef;3;1;4;0;0;0;
2023;August;23;LM;St Maarten;Long Bay Reef;1;0;0;0;0;0;
2023;August;23;LM;St Maarten;Long Bay Reef;2;0;0;0;0;0;
2023;August;23;LM;St Maarten;Long Bay Reef;3;0;0;0;0;0;
2023;August;25;GP;St Maarten;Fish Bowl;1;0;0;0;0;0;
2023;August;25;GP;St Maarten;Fish Bowl;2;0;0;0;0;0;
2023;August;25;GP;St Maarten;Fish Bowl;3;0;0;0;0;0;
2023;September;14;AV;St Maarten;Shark Hotel;1;0;0;0;0;0;
2023;September;14;AV;St Maarten;Shark Hotel;2;0;0;0;0;0;
2023;September;14;AV;St Maarten;Shark Hotel;3;0;0;0;0;0;
2023;September;14;LM;St Maarten;Moonscape;1;0;0;0;0;0;
2023;September;14;LM;St Maarten;Moonscape;2;0;0;0;0;0;
2023;September;14;LM;St Maarten;Moonscape;3;0;0;0;0;1;
2023;September;21;GP;St Maarten;Proselyte Reef;1;0;0;0;0;0;
2023;September;21;GP;St Maarten;Proselyte Reef;2;0;0;0;0;1;
2023;September;21;GP;St Maarten;Proselyte Reef;3;0;0;0;0;0;
2023;September;21;GP;St Maarten;Mikes Mazes;1;0;0;0;0;0;
2023;September;21;GP;St Maarten;Mikes Mazes;2;0;0;0;0;0;
2023;September;21;GP;St Maarten;Mikes Mazes;3;0;0;0;0;0;Octopus
