Year;Month;Day;Observer;Location;Site;Transect;Quad;CoralCode;SpeciesSN;GenusSN;FamilyCN;Size_cm
2016;July;25;MM;St Maarten;Frenchman Reef;1;1;STARLET;Unknown;Siderastrea;Starlet Coral;3.5
2016;July;25;MM;St Maarten;Frenchman Reef;1;5;PAST;Porites astreoides;Porites;mustard hill coral;1
2016;July;25;MM;St Maarten;Frenchman Reef;2;1;OANN;Orbicella annularis;Orbicella ;Boulder Star Coral;3
2016;July;25;MM;St Maarten;Frenchman Reef;3;1;STARLET;Unknown;Siderastrea;Star Coral;2
2016;July;25;MM;St Maarten;Frenchman Reef;3;4;STARLET;Unknown;Siderastrea;Star Coral;3
2016;July;27;MM;St Maarten;Mikes Mazes;2;1;STARLET;Unknown;Siderastrea;Star Coral;2
2016;July;27;MM;St Maarten;Mikes Mazes;2;1;STARLET;Unknown;Siderastrea;Star Coral;2.5
2016;July;27;MM;St Maarten;Mikes Mazes;2;1;STARLET;Unknown;Siderastrea;Star Coral;0.5
2016;July;27;MM;St Maarten;Mikes Mazes;2;3;STARLET;Unknown;Siderastrea;Star Coral;3
2016;July;27;MM;St Maarten;Mikes Mazes;3;2;STARLET;Unknown;Siderastrea;Star Coral;2.5
2016;July;27;MM;St Maarten;Mikes Mazes;3;2;STARLET;Unknown;Siderastrea;Star Coral;2.5
2016;July;27;MM;St Maarten;Mikes Mazes;3;3;MDEC;Madracis decactis;Madracis;Ten-Ray Star Coral;3
2016;July;28;MM;St Maarten;Proselyte Reef;1;3;STARLET;Unknown;Siderastrea;Star Coral;2.5
2016;July;28;MM;St Maarten;Proselyte Reef;1;3;STARLET;Unknown;Siderastrea;Star Coral;2
2016;July;28;MM;St Maarten;Proselyte Reef;1;4;SINT;Stephanocoenia intersepta;Stephanocoenia;Blushing Star Coral;1.5
2016;July;28;MM;St Maarten;Proselyte Reef;1;4;SINT;Stephanocoenia intersepta;Stephanocoenia;Blushing Star Coral;3.5
2016;July;28;MM;St Maarten;Proselyte Reef;1;4;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.1
2016;July;28;MM;St Maarten;Proselyte Reef;2;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2016;July;28;MM;St Maarten;Proselyte Reef;2;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;0.8
2016;July;28;MM;St Maarten;Proselyte Reef;2;3;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2016;July;28;MM;St Maarten;Proselyte Reef;2;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;1
2016;July;28;MM;St Maarten;Proselyte Reef;3;1;AAGA;Agaricia agaricites;Agaricia;Lettuce Coral;2
2016;July;28;MM;St Maarten;Proselyte Reef;3;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;1
2016;July;28;MM;St Maarten;Proselyte Reef;3;3;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2016;July;28;MM;St Maarten;Proselyte Reef;3;3;STARLET;Unknown;Siderastrea;Star Coral;1.5
2016;July;28;MM;St Maarten;Proselyte Reef;3;4;STARLET;Unknown;Siderastrea;Star Coral;3.5
2016;July;28;MM;St Maarten;Proselyte Reef;3;4;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2016;July;29;MM;St Maarten;Long Bay Reef;1;1;STARLET;Unknown;Siderastrea;Star Coral;3
2016;July;29;MM;St Maarten;Long Bay Reef;1;4;PAST;Porites astreoides;Porites;Mustard Hill Coral;3.5
2016;July;29;MM;St Maarten;Long Bay Reef;1;4;PAST;Porites astreoides;Porites;Mustard Hill Coral;3
2016;July;29;MM;St Maarten;Long Bay Reef;2;1;STARLET;Unknown;Siderastrea;Star Coral;2
2016;July;29;MM;St Maarten;Long Bay Reef;2;2;SINT;Stephanocoenia intersepta;Stephanocoenia;Blushing Star Coral;3.8
2016;July;29;MM;St Maarten;Long Bay Reef;2;3;STARLET;Unknown;Siderastrea;Star Coral;1
2016;July;29;MM;St Maarten;Long Bay Reef;2;3;STARLET;Unknown;Siderastrea;Star Coral;0.8
2016;July;29;MM;St Maarten;Long Bay Reef;3;1;STARLET;Unknown;Siderastrea;Star Coral;3.6
2016;July;29;MM;St Maarten;Long Bay Reef;3;5;STARLET;Unknown;Siderastrea;Star Coral;2.5
2016;August;8;MM;St Maarten;Shark Hotel;2;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;0.7
2016;August;8;MM;St Maarten;Shark Hotel;2;3;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2016;August;8;MM;St Maarten;Shark Hotel;2;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;2.5
2016;August;8;MM;St Maarten;Shark Hotel;2;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;1
2016;August;8;MM;St Maarten;Shark Hotel;3;4;PAST;Porites astreoides;Porites;Mustard Hill Coral;1
2016;August;8;MM;St Maarten;Shark Hotel;3;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;3.5
2016;August;8;MM;St Maarten;Fish Bowl;1;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;2.5
2016;August;8;MM;St Maarten;Fish Bowl;1;3;PAST;Porites astreoides;Porites;Mustard Hill Coral;0.7
2016;August;8;MM;St Maarten;Fish Bowl;1;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;3
2016;August;8;MM;St Maarten;Fish Bowl;1;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2016;August;8;MM;St Maarten;Fish Bowl;1;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;1
2016;August;8;MM;St Maarten;Fish Bowl;2;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;3.5
2016;August;8;MM;St Maarten;Fish Bowl;2;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2016;August;8;MM;St Maarten;Fish Bowl;2;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;2.5
2016;August;8;MM;St Maarten;Fish Bowl;2;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2016;August;8;MM;St Maarten;Fish Bowl;3;5;STARLET;Unknown;Siderastrea;Star Coral;4
2016;August;8;MM;St Maarten;Fish Bowl;3;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2016;August;9;MM;St Maarten;Moonscape;1;1;STARLET;Unknown;Siderastrea;Star Coral;3.9
2016;August;9;MM;St Maarten;Moonscape;1;4;STARLET;Unknown;Siderastrea;Star Coral;1.5
2016;August;9;MM;St Maarten;Moonscape;1;4;STARLET;Unknown;Siderastrea;Star Coral;2
2016;August;9;MM;St Maarten;Moonscape;1;4;STARLET;Unknown;Siderastrea;Star Coral;1
2016;August;9;MM;St Maarten;Moonscape;1;4;STARLET;Unknown;Siderastrea;Star Coral;2.2
2016;August;9;MM;St Maarten;Moonscape;1;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;3.2
2016;August;9;MM;St Maarten;Moonscape;2;2;DSTO;Dichocoenia stokesii;Dichocoenia;Elliptical Star coral ;2
2016;August;9;MM;St Maarten;Moonscape;2;2;OROB;Oculina robusta;Oculina;Robust Ivory Tree Coral;0.6
2016;August;9;MM;St Maarten;Moonscape;2;3;STARLET;Unknown;Siderastrea;Star Coral;1.2
2016;August;9;MM;St Maarten;Moonscape;2;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2016;August;9;MM;St Maarten;Moonscape;3;4;DSTO;Dichocoenia stokesii;Dichocoenia;Elliptical Star coral ;2.5
2017;August;15;MM;St Maarten;Frenchman Reef;1;3;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;3.5
2017;August;15;MM;St Maarten;Frenchman Reef;2;1;MCAV;Montastrea cavernosa;Montastraea;Great Star Coral;2
2017;August;15;MM;St Maarten;Frenchman Reef;2;4;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;2.5
2017;August;15;MM;St Maarten;Frenchman Reef;2;5;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;2.5
2017;August;15;MM;St Maarten;Frenchman Reef;2;5;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;2.5
2017;August;15;MM;St Maarten;Frenchman Reef;3;2;DSTO;Dichocoenia stokesii;Dichocoenia;Elliptical Star coral ;3
2017;August;15;MM;St Maarten;Frenchman Reef;3;3;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;4
2017;August;15;MM;St Maarten;Frenchman Reef;3;3;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;1.5
2017;August;23;MM;St Maarten;Shark Hotel;1;1;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;2.5
2017;August;23;MM;St Maarten;Shark Hotel;1;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;2.5
2017;August;23;MM;St Maarten;Shark Hotel;1;1;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;1
2017;August;23;MM;St Maarten;Shark Hotel;1;1;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;1
2017;August;23;MM;St Maarten;Shark Hotel;1;1;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;1
2017;August;23;MM;St Maarten;Shark Hotel;1;1;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;0.5
2017;August;23;MM;St Maarten;Shark Hotel;1;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2017;August;23;MM;St Maarten;Shark Hotel;1;3;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;2
2017;August;23;MM;St Maarten;Shark Hotel;1;4;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;4
2017;August;23;MM;St Maarten;Shark Hotel;1;4;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;1
2017;August;23;MM;St Maarten;Shark Hotel;1;4;PAST;Porites astreoides;Porites;Mustard Hill Coral;1
2017;August;23;MM;St Maarten;Shark Hotel;1;4;PAST;Porites astreoides;Porites;Mustard Hill Coral;0.5
2017;August;23;MM;St Maarten;Shark Hotel;2;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2017;August;23;MM;St Maarten;Shark Hotel;2;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;1
2017;August;23;MM;St Maarten;Shark Hotel;2;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2017;August;23;MM;St Maarten;Shark Hotel;2;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2017;August;23;MM;St Maarten;Shark Hotel;2;4;PAST;Porites astreoides;Porites;Mustard Hill Coral;3
2017;August;23;MM;St Maarten;Shark Hotel;2;4;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2017;August;23;MM;St Maarten;Shark Hotel;2;5;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;2
2017;August;23;MM;St Maarten;Shark Hotel;2;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2017;August;23;MM;St Maarten;Shark Hotel;2;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2017;August;23;MM;St Maarten;Shark Hotel;3;2;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;2.5
2017;August;23;MM;St Maarten;Shark Hotel;3;3;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2017;August;23;MM;St Maarten;Shark Hotel;3;3;PAST;Porites astreoides;Porites;Mustard Hill Coral;0.5
2017;August;23;MM;St Maarten;Shark Hotel;3;4;OANN;Orbicella annularis;Orbicella ;Boulder Star Coral;4
2017;August;23;MM;St Maarten;Shark Hotel;3;5;DSTO;Dichocoenia stokesii;Dichocoenia;Elliptical Star coral ;1.5
2017;August;24;MM;St Maarten;Fish Bowl;1;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;1
2017;August;24;MM;St Maarten;Fish Bowl;1;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2017;August;24;MM;St Maarten;Fish Bowl;1;3;FFRA;Favia fragum;Favia;Golfball Coral;2.5
2017;August;24;MM;St Maarten;Fish Bowl;1;3;FFRA;Favia fragum;Favia;Golfball Coral;0.5
2017;August;24;MM;St Maarten;Fish Bowl;2;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;4
2017;August;24;MM;St Maarten;Fish Bowl;2;4;PAST;Porites astreoides;Porites;Mustard Hill Coral;0.5
2017;August;24;MM;St Maarten;Fish Bowl;2;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2017;August;24;MM;St Maarten;Fish Bowl;3;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;4
2017;August;24;MM;St Maarten;Fish Bowl;3;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;3
2017;August;24;MM;St Maarten;Fish Bowl;3;4;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;4
2017;August;24;MM;St Maarten;Fish Bowl;3;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;2.5
2017;August;24;MM;St Maarten;Proselyte Reef;1;1;SINT;Stephanocoenia intersepta;Stephanocoenia;Blushing Star Coral;2
2017;August;24;MM;St Maarten;Proselyte Reef;1;4;AAGA;Agaricia agaricites;Agaricia;Lettuce Coral;4
2017;August;24;MM;St Maarten;Proselyte Reef;1;4;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2017;August;24;MM;St Maarten;Proselyte Reef;2;2;AAGA;Agaricia agaricites;Agaricia;Lettuce Coral;2
2017;August;24;MM;St Maarten;Proselyte Reef;2;2;AAGA;Agaricia agaricites;Agaricia;Lettuce Coral;4
2017;August;24;MM;St Maarten;Proselyte Reef;2;2;FFRA;Favia fragum;Favia;Golfball Coral;2.5
2017;August;24;MM;St Maarten;Proselyte Reef;2;3;SINT;Stephanocoenia intersepta;Stephanocoenia;Blushing Star Coral;3
2017;August;24;MM;St Maarten;Proselyte Reef;2;5;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;2
2017;August;24;MM;St Maarten;Proselyte Reef;2;5;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;1.5
2017;August;24;MM;St Maarten;Proselyte Reef;2;5;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;2.5
2017;August;24;MM;St Maarten;Proselyte Reef;3;1;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;3.5
2017;August;24;MM;St Maarten;Proselyte Reef;3;5;MDEC;Madracis decactis;Madracis;Ten-Ray Star Coral;4
2017;August;25;MM;St Maarten;Mikes Mazes;1;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;3.5
2017;August;25;MM;St Maarten;Mikes Mazes;1;2;FFRA;Favia fragum;Favia;Golfball Coral;1.5
2017;August;25;MM;St Maarten;Mikes Mazes;1;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2017;August;25;MM;St Maarten;Mikes Mazes;2;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2017;August;25;MM;St Maarten;Mikes Mazes;2;4;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;3
2017;August;25;MM;St Maarten;Mikes Mazes;2;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2017;August;25;MM;St Maarten;Mikes Mazes;2;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;1
2017;August;25;MM;St Maarten;Mikes Mazes;3;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2017;August;25;MM;St Maarten;Mikes Mazes;3;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;2.5
2017;August;25;MM;St Maarten;Mikes Mazes;3;4;FFRA;Favia fragum;Favia;Golfball Coral;1.5
2017;August;25;MM;St Maarten;Mikes Mazes;3;4;PAST;Porites astreoides;Porites;Mustard Hill Coral;0.5
2017;August;25;MM;St Maarten;Mikes Mazes;3;4;PAST;Porites astreoides;Porites;Mustard Hill Coral;0.5
2017;August;25;MM;St Maarten;Mikes Mazes;3;4;FFRA;Favia fragum;Favia;Golfball Coral;1.5
2017;August;31;MM;St Maarten;Long Bay Reef;1;4;PAST;Porites astreoides;Porites;Mustard Hill Coral;3
2017;August;31;MM;St Maarten;Long Bay Reef;1;4;AAGA;Agaricia agaricites;Agaricia;Lettuce Coral;2
2017;August;31;MM;St Maarten;Long Bay Reef;1;5;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;2.5
2017;August;31;MM;St Maarten;Long Bay Reef;2;3;PAST;Porites astreoides;Porites;Mustard Hill Coral;3
2017;August;31;MM;St Maarten;Long Bay Reef;2;5;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;2.5
2017;August;31;MM;St Maarten;Long Bay Reef;3;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;4
2017;August;31;MM;St Maarten;Long Bay Reef;3;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;3.5
2017;August;31;MM;St Maarten;Long Bay Reef;3;3;MDEC;Madracis decactis;Madracis;Ten-Ray Star Coral;4
2017;August;31;MM;St Maarten;Moonscape;1;2;DSTO;Dichocoenia stokesii;Dichocoenia;Elliptical Star coral ;1.5
2017;August;31;MM;St Maarten;Moonscape;1;3;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2017;August;31;MM;St Maarten;Moonscape;2;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;4
2017;August;31;MM;St Maarten;Moonscape;3;2;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;2
2017;August;31;MM;St Maarten;Moonscape;3;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2017;August;31;MM;St Maarten;Moonscape;3;2;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;1
2017;November;28;MM;St Maarten;Moonscape;2;2;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;2
2017;November;28;MM;St Maarten;Moonscape;2;2;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;3
2017;November;28;MM;St Maarten;Moonscape;2;2;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;2
2017;November;28;MM;St Maarten;Moonscape;2;3;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2017;November;28;MM;St Maarten;Moonscape;3;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;3
2017;November;28;MM;St Maarten;Moonscape;3;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;3
2017;November;30;MM;St Maarten;Long Bay Reef;1;1;EFAS;Eusmilia fastigiata;Eusmilia;Smooth Flower Coral;1.5
2017;November;30;MM;St Maarten;Long Bay Reef;1;1;EFAS;Eusmilia fastigiata;Eusmilia;Smooth Flower Coral;1
2017;November;30;MM;St Maarten;Long Bay Reef;1;1;EFAS;Eusmilia fastigiata;Eusmilia;Smooth Flower Coral;1
2017;November;30;MM;St Maarten;Long Bay Reef;1;1;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;1.5
2017;November;30;MM;St Maarten;Long Bay Reef;1;5;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;2
2017;November;30;MM;St Maarten;Long Bay Reef;1;5;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;4
2017;November;30;MM;St Maarten;Long Bay Reef;1;5;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;1.5
2017;November;30;MM;St Maarten;Long Bay Reef;2;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;1
2017;November;30;MM;St Maarten;Long Bay Reef;2;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2017;November;30;MM;St Maarten;Long Bay Reef;2;3;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;3.5
2017;November;30;MM;St Maarten;Long Bay Reef;2;4;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;2.5
2017;November;30;MM;St Maarten;Long Bay Reef;2;5;PAST;Porites astreoides;Porites;Mustard Hill Coral;1
2017;November;30;MM;St Maarten;Long Bay Reef;3;1;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
2017;November;30;MM;St Maarten;Long Bay Reef;3;2;PPOR;Porites porites;Porites;Finger Coral;3
2017;November;30;MM;St Maarten;Long Bay Reef;3;2;PPOR;Porites porites;Porites;Finger Coral;4
2017;November;30;MM;St Maarten;Long Bay Reef;3;4;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;2.5
2017;November;30;MM;St Maarten;Long Bay Reef;3;4;SRAD;Siderastrea radians;Siderastrea;Lesser Starlet Coral;2.5
2017;November;30;MM;St Maarten;Long Bay Reef;3;4;PPOR;Porites porites;Porites;Finger Coral;3.5
2017;November;30;MM;St Maarten;Long Bay Reef;3;4;PPOR;Porites porites;Porites;Finger Coral;1
2017;November;30;MM;St Maarten;Long Bay Reef;3;5;SSID;Siderastrea siderea;Siderastrea;Massive Starlet Coral;2
2017;December;1;MM;St Maarten;Fish Bowl;1;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;1.5
2017;December;1;MM;St Maarten;Fish Bowl;1;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;4
2017;December;1;MM;St Maarten;Fish Bowl;1;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;3.5
2017;December;1;MM;St Maarten;Fish Bowl;1;2;PAST;Porites astreoides;Porites;Mustard Hill Coral;2
