"Site_ID","Number of frames","CORAL","GORGONIANS","SPONGES","ZOANTHIDS","MACROALGAE","OTHER LIVE","DEAD CORAL WITH ALGAE","CORALLINE ALGAE","DISEASED CORALS","SAND, PAVEMENT, RUBBLE","UNKNOWNS","Acropora cervicornis","Acropora palmata","Acropora prolifera","Agaricia agaricites","Agaricia fragilis","Agaricia grahamae","Agaricia lamarcki","Agaricia tenuifolia","Agaricia undata","Colpophyllia breviserialis","Colpophyllia natans","Coral","Coral juvenile","Dendrogyra cylindrus","Dichocoenia stellaris","Dichocoenia stokesi","Diploria clivosa","Diploria labyrinthiformis","Pseudodiploria strigosa","Eusmilia fastigiata","Favia fragum","Isophyllia sinuosa","Leptoseris cucullata","Madracis decactis","Madracis mirabilis","Manicina areolata","Meandrina meandrites","Millepora alcicornis","Millepora complanata","Millepora squarrosa","Montastraea annularis","Montastraea cavernosa","Orbicella faveolata","Montastrea franksi","Mussa angulosa","Mycetophyllia aliciae","Mycetophyllia danaana","Mycetophyllia ferox","Mycetophyllia lamarckiana","Oculina diffusa","Porites astreoides","Porites branneri","Porites divaricata","Porites furcata","Porites porites","Scolymia cubensis","Scolymia lacera","Siderastrea radians","Siderastrea siderea","Solenastrea bournoni","Solenastrea hyades","Stephanocoenia intersepta","Tubastraea aurea","Briareum","Erythropodium","Eunicea","Gorgonian","Iciligorgia","Muricea","Muriceopsis","Plexaura","Plexaurella","Pseudoplexaura","Pseudopterogorgia","Pterogorgia","Sponge","Palythoa","Zoanthid","Amphiroa","Dictyota","Halimeda","Liagora","Lobophora","Macroalgae","Padina","Peyssonnelid","Porolithon","Sargassum","Schizothrix","Stypopodium","Turbinaria","Turf","Wrangelia","Ascidian","Cyanobacteria","Halophylla","Other","Tunicate","Dead coral with algae","Dead gorgonian","Old dead coral","Recently dead coral","Coralline algae","Diseased coral","Pavement","Rubble","Sand","Unknown","Aspergillus","Black Band Disease","Bleached coral point","Other disease","Plague, Type II","White Band Disease","Yellow Blotch Disease"
"2016-Fish Bowl",75,4.86,34.06,10.04,1.17,45.49,0.43,0.11,2.72,0,1.12,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0.11,0.27,0.48,0,0,0,0,0,0,0,0.11,0.37,1.71,0,0.05,0.11,0.27,0.21,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0.05,0.37,0,0,0,0,0,0,0,34.06,0,0,0,0,0,0,0,0,10.04,0,1.17,0,24.99,0,0,2.67,0.11,0,0.27,0,0,0,0,0,17.46,0,0,0.37,0,0,0.05,0.11,0,0,0,2.72,0,0,0.21,0.91,0,0,0,0.27,0,0,0.05,0
"2016-Frenchman Reef",75,1.76,2.72,6.72,0.32,86.4,0,0.16,0.48,0,1.44,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.37,0,0,0,0.11,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.21,0.75,0,0,0,0,0,0,0,2.72,0,0,0,0,0,0,0,0,6.72,0,0.32,0,41.07,1.39,0,0,0.21,0,0.11,0,0,0,0,0,43.63,0,0,0,0,0,0,0.16,0,0,0,0.48,0,0,0.16,1.28,0,0,0,0.37,0,0,0,0
"2016-Long Bay Reef",75,1.76,1.71,4.85,0,81.49,6.77,0.27,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.16,0.05,0,0,0,0,0,0,0,0.16,0.05,0,0,0.43,0.11,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0.11,0.05,0.05,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,4.85,0,0,0,43.15,0,0,1.17,0,0,0,0,0,0,0,0,37.17,0,0,6.24,0.53,0,0,0.27,0,0,0,0,0,0,0.32,2.83,0,0,0,0.16,0,0,0,0
"2016-Mikes Mazes",75,4.16,25.01,5.97,0.27,54.08,0.43,0,3.79,0,6.29,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0.8,1.33,0,0,0.11,0.27,0.59,0,0,0,0,0.05,0,0.37,0,0,0,0,0,0,0.05,0.32,0,0,0,0,0,0,0,25.01,0,0,0,0,0,0,0,0,5.97,0.05,0.21,0,21.12,0.11,0,0,3.09,0,0.05,0,0,0,0,0,29.65,0.05,0,0.27,0,0,0.16,0,0,0,0,3.79,0,0.43,3.95,1.92,0,0,0,0,0,0,0,0
"2016-Moonscape",74,1.73,1.19,5.73,0.16,78.97,10.05,0.27,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.05,0,0,0,0,0,0,0,0,0.32,0.05,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0.27,0,0,0.05,0,0,0,0.22,0.54,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,5.73,0,0.16,0,44.92,1.89,0,0,0.05,0,0.05,0,0,0,0,0,32.05,0,0,10.05,0,0,0,0.27,0,0,0,0,0,0,0.43,1.46,0,0,0,0.11,0,0,0,0
"2016-Proselyte Reef",75,3.52,13.01,8.21,0.32,66.61,1.6,0.05,2.99,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.11,0.21,0,0,0,0,0,0,0,0,0.27,0.69,0,0,0.05,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0.11,0.8,0,0,0,0,0,0,0,13.01,0,0,0,0,0,0,0,0,8.21,0,0.32,0,25.76,0.05,0,2.13,0,0,0,0,0,0,0,0,38.67,0,0,1.55,0,0,0.05,0.05,0,0,0,2.99,0,0.16,0.85,2.67,0,0,0,0.11,0,0,0,0
"2016-Shark Hotel",75,5.82,35.77,9.93,0.48,44.74,0,0.11,2.83,0,0.32,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0.48,0.43,0,0,0,0,0,0,0,0,0.91,1.39,0,0,0.53,0.16,0.16,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0.05,0.16,0,0,0,0,0,0.43,0,35.34,0,0,0,0,0,0,0,0,9.93,0,0.48,0,21.2,0,0,3.31,0,0,0.27,0,0,0,0,0,19.97,0,0,0,0,0,0,0.11,0,0,0,2.83,0,0,0.16,0.16,0,0,0,0.16,0,0,0,0
"2017_post-Fish Bowl",75,4.32,16.64,13.65,0.27,51.63,1.23,0.59,10.83,0,0.69,0.16,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0.27,0.37,0,0,0,0,0,0,0,0.11,0.16,1.01,0,0,0.75,0.37,0.05,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0.48,0.05,0,0,0,0,0.37,0,16.27,0,0,0,0,0,0,0,0,13.65,0,0.27,0,10.72,0,0,0.21,0,0,0.21,0.05,0,0,0,0,40.43,0,0,1.17,0,0,0.05,0.59,0,0,0,10.83,0,0,0.48,0.21,0.16,0,0,0.27,0,0,0,0
"2017_post-Frenchman Reef",75,2.4,1.23,7.15,0.48,80.59,2.56,0,2.24,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.05,0,0.05,0.27,0,0,0,0,0,0,0,0.16,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.75,0.11,0,0,0,0,0.05,0,1.17,0,0,0,0,0,0,0,0,7.15,0,0.48,0,18.13,0,0,0,0,0,0,0.05,0,0,0,0,62.4,0,0,2.56,0,0,0,0,0,0,0,2.24,0,0,0.05,3.31,0,0,0,0,0,0,0,0
"2017_post-Long Bay Reef",75,2.03,1.6,6.83,0,79.77,0.05,0.21,0.64,0,8.86,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.21,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0.27,0.32,0.11,0,0,0,0,0,0.05,0.59,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0.11,0,1.49,0,0,0,0,0,0,0,0,6.83,0,0,0,27.76,0,0,0,0,0,0.16,0.05,0,0,0,0,51.79,0,0,0.05,0,0,0,0.21,0,0,0,0.64,0,0,1.6,7.26,0,0,0,0,0,0,0,0
"2017_post-Mikes Mazes",75,5.97,14.08,12.21,3.73,47.36,0.53,0.64,13.97,0,1.49,0,0,0.37,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.43,0.21,0,0,0,0,0.05,0,0,0,0.27,1.01,0,0,0.48,0.43,0.91,0,0,0,0,0,0,0.96,0,0,0,0,0,0.05,0,0.32,0.11,0,0,0,0,0.16,0,13.92,0,0,0,0,0,0,0,0,12.21,0,3.73,0,3.95,0,0,0.11,0,0,0.16,0.05,0,0,0,0,43.09,0,0,0.53,0,0,0,0.64,0,0,0,13.97,0,0,1.23,0.27,0,0,0,0.11,0,0,0,0
"2017_post-Moonscape",75,2.19,0.11,3.84,0,82.88,0.16,0.37,0.48,0,9.97,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0.16,0,0.05,0.32,0,0.05,0,0,0.16,0,0,0,0,0,0,0,0.21,0.11,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,3.84,0,0,0,18.03,0.48,0,0,0.11,0,0.48,0,0,0,0,0,63.79,0,0,0,0,0.16,0,0.27,0,0.11,0,0.48,0,0.64,0.59,8.75,0,0,0,0.27,0,0,0,0
"2017_post-Proselyte Reef",75,5.98,8.97,16.55,0.53,52.7,0.59,0.27,9.34,0,5.02,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0.16,0.27,0,0,0,0,0,0,0,0,0.37,3.26,0,0,0.11,0.11,0.05,0,0,0,0,0.11,0,0.64,0,0,0,0,0,0,0.05,0.59,0.11,0,0,0,0,0,0,8.97,0,0,0,0,0,0,0,0,16.55,0,0.53,0,7.9,0,0,0.21,0,0,0.11,0,0,0,0,0,44.47,0,0,0.53,0,0.05,0,0.27,0,0,0,9.34,0,0,1.66,3.36,0.05,0,0,0.21,0,0,0,0
"2017_post-Shark Hotel",75,3.31,11.79,11.68,0.21,62.83,0.43,0.27,8.75,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.16,0,0.27,0.32,0,0,0,0,0.11,0,0,0,0,0.75,0,0,0.11,0,0.27,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0.75,0.05,0,0,0,0,0,0,11.79,0,0,0,0,0,0,0,0,11.68,0,0.21,0,10.77,0,0,0.05,0.05,0,0.05,0.27,0,0,0,0,51.63,0,0,0.43,0,0,0,0.27,0,0,0,8.75,0,0,0.21,0.53,0,0,0,0.32,0,0,0,0
"2017_pre-Fish Bowl",76,4.85,20.32,18.08,0.48,50.35,0.59,0.37,3.25,0,1.71,0,0,0,0,0.11,0.05,0,0,0,0,0,0,0,0,0,0.05,0.21,0,0.53,0.96,0,0,0,0,0,0,0,0,0.27,0.91,0,0,0.37,0.21,0.21,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0.37,0.16,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,0,18.08,0,0.48,0,17.92,0.05,0,5.97,0.32,0.11,0.69,0,0,0,0,0,25.28,0,0,0.53,0,0,0.05,0.37,0,0,0,3.25,0,0,0.21,1.49,0,0,0,0.43,0,0,0,0
"2017_pre-Frenchman Reef",75,1.76,4.27,9.92,0,81.12,0.27,0,1.12,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.11,0.32,0,0,0,0,0,0,0,0,0,0.11,0,0,0.11,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,9.92,0,0,0,20.85,3.04,0.05,0,0.05,0,0.11,0,0,0,0,0,57.01,0,0,0.27,0,0,0,0,0,0,0,1.12,0,0,0,1.55,0,0,0,0.11,0,0,0,0
"2017_pre-Long Bay Reef",75,4.96,1.97,13.6,0,59.63,18.4,0.05,0.21,0,1.17,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.48,0.59,0,0,0,0,0,0,0,0,0.05,0,0,0,0.59,1.17,0.64,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0.05,0.27,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,13.6,0,0,0,25.81,0.64,0.32,5.33,0.05,0,1.81,0,0,0,0,0,25.65,0,0,17.81,0.59,0,0,0.05,0,0,0,0.21,0,0,0.11,1.07,0,0,0,0.43,0,0,0,0
"2017_pre-Mikes Mazes",75,13.71,23.79,12.48,3.04,40.59,0,0.21,5.44,0,0.75,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0.16,0,0.05,0,0,0,0,0,0,0.43,5.6,0,0,0.59,0.64,0.59,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0.32,0.21,0,0,0,0,0,0.11,0,23.68,0,0,0,0,0,0,0,0,12.48,0,3.04,0,20.59,0,0.05,0.32,0,0,0.53,0.37,0,0,0,0,18.72,0,0,0,0,0,0,0.21,0,0,0,5.44,0,0,0.27,0.48,0,0,0,0.43,0,0,0,0
"2017_pre-Moonscape",75,4.75,1.28,7.36,0,80.21,2.4,0.75,0.32,0,2.93,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0.21,0,0.16,1.12,0,0,0,0,0,0,0.05,0.27,0.05,0,0,0,0.16,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0.16,1.76,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,7.36,0,0,0,27.15,5.81,0.05,0,0,0,0.32,0,0,0,0,0,46.88,0,0,1.81,0.59,0,0,0.75,0,0,0,0.32,0,0.85,0,2.08,0,0,0,0.59,0,0,0,0
"PRE 2017-Proselyte Reef",75,6.88,11.84,16.85,0.32,54.72,0.48,0.05,5.33,0,3.52,0,0,0.05,0,0.27,0,0,0,0,0.05,0,0,0,0.05,0.27,0,0,0,0.16,0.32,0,0,0,0,0.05,0.05,0,0.11,0.48,2.88,0,0,0.05,0,0.11,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0.11,0.69,0.05,0,0,0.16,0,0,0,11.84,0,0,0,0,0,0,0,0,16.85,0,0.32,0,23.79,0,0.11,2.45,0,0.05,0.85,0,0,0,0,0,27.41,0.05,0,0.43,0,0,0.05,0.05,0,0,0,5.33,0,0,1.76,1.76,0,0,0,0.16,0,0,0,0
"2017_pre-Shark Hotel",75,6.03,20.85,19.89,0.37,50.24,0.05,0.32,1.71,0,0.53,0,0.05,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0.27,0.16,0.05,0.32,0.16,0,0,0,0,0.11,0,0,0.21,0.43,1.28,0,0,0.59,0.05,0.96,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.21,0.8,0.16,0,0,0,0,0.11,0,20.75,0,0,0,0,0,0,0,0,19.89,0,0.37,0,21.87,0,0.11,7.84,0.11,0,1.01,0,0,0,0,0,19.31,0,0,0.05,0,0,0,0.32,0,0,0,1.71,0,0,0,0.53,0,0,0,0.32,0,0,0,0
